id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon,state_code
862,Bellfield College,29 - 31 Rossmore Avenue West,Rossmore,2557,Independent,Combined,-33.941562,150.766599,NSW
863,Yeshiva College,36 Flood Street,Bondi,2026,Independent,Combined,-33.891831,151.259389,NSW
864,Trades Norwest Anglican Senior College,1000 Old Windsor Road,Glenwood,2768,Independent,Secondary,-33.7464,150.901,NSW
865,Pacific Coast Christian School,3a Acacia Street,Tweed Heads South,2486,Independent,Combined,-28.197637,153.520713,NSW
866,Our Lady of the Angels Primary School,1 Wellgate Avenue,Kellyville,2155,Catholic,Primary,-33.683958,150.933018,NSW
867,Saint Mary MacKillop College Albury,197 Urana Road,Jindera,2642,Independent,Combined,-35.951768,146.887464,NSW
868,Pacific Valley Christian School,8 Edinburgh Drive,Townsend,2463,Independent,Combined,-29.462867,153.217315,NSW
869,Lindfield Montessori Preschool,9 Moore Street,West Lindfield,2070,Independent,Primary,-33.777789,151.148357,NSW
870,WAYS Secondary,63a Wairoa Avenue,Bondi,2026,Independent,Secondary,-33.886915,151.279192,NSW
871,Cameragal Montessori School,2B  Montpelier Street,Neutral Bay,2089,Independent,Primary,-33.8428,151.2078,NSW
872,Karuna Montessori School,48-50 Parr Parade,Narraweena,2099,Independent,Primary,-33.74781,151.276408,NSW
873,Albury Wodonga Community College  Albury,327B Kiewa Street,Albury,2640,Independent,Secondary,-36.0897,146.9133,NSW
874,St Justin's Catholic Primary School,94 Oran Park Drive,Oran Park,2570,Catholic,Primary,-34.020017,150.742401,NSW
875,St Benedict's Catholic College,70 Oran Park Drive,Oran Park,2570,Catholic,Secondary,-34.025859,150.699271,NSW
876,Redfern Jarjum College,117 Redfern Street,Redfern,2016,Independent,Primary,-33.892973,151.20261,NSW
877,Farmhouse Montessori School,9 Bardoo Avenue,North Balgowlah,2093,Independent,Primary,-33.783352,151.246409,NSW
878,Macquarie Grammar School,225 Clarence Street Levels 4 and 8,Sydney,2000,Independent,Secondary,-33.8701,151.205138,NSW
879,St Andrew's Cathedral Gawura School,Sydney Square,Sydney,2000,Independent,Primary,-33.873934,151.205644,NSW
880,TLK Alesco School,Old School Place  80 Shannon Parade,Berkeley Vale,2261,Independent,Secondary,-33.34772,151.435601,NSW
881,ALESCO Illawarra,50-52 Auburn Street,Wollongong,2500,Independent,Secondary,-34.430408,150.88851,NSW
882,Alpha Omega Senior College,Level 4  1-5 Harrow Road,Auburn,2144,Independent,Secondary,-33.850765,151.031329,NSW
883,Aspect Macarthur School,229 Macquarie Grove Road,Cobbitty,2570,Independent,Special,-34.032094,150.705575,NSW
884,Aspect Riverina School,437 Olive Street,Albury,2640,Independent,Special,-36.084338,146.917576,NSW
885,St Andrew's Cathedral School,St Andrew's House 474 Kent Street,Sydney,2000,Independent,Combined,-33.873885,151.205524,NSW
886,Rosary Park Catholic School,Station Street,Branxton,2335,Catholic,Primary,-32.656321,151.347359,NSW
887,St Ambrose Catholic Primary School,Lot 3  Elizabeth Street,Pottsville,2689,Catholic,Primary,-28.39192,153.56294,NSW
888,Salamah College,40 Hector Street,Chester Hill,2162,Independent,Combined,-33.875947,151.005794,NSW
889,Al Hikma College,291 Haldon Street,Lakemba,2195,Independent,Primary,-33.926124,151.081249,NSW
890,Pittwater House Schools,Westmoreland Avenue,Collaroy,2097,Independent,Combined,-33.741707,151.29277,NSW
891,EDEN College,86 Parliament Road,Macquarie Fields,2564,Independent,Secondary,-33.989261,150.891887,NSW
892,St Carthage's Primary School,2 Dawson Street,Lismore,2480,Catholic,Primary,-28.803682,153.284482,NSW
893,Good Samaritan Catholic Primary School,48 McGrath Street,Fairy Meadow,2519,Catholic,Primary,-34.39783,150.890116,NSW
894,Western Grammar School,15 Cannery Road,Plumpton,2671,Independent,Combined,-33.74973,150.835912,NSW
