id,school_name,school_type,Official Low Year Level,Official High Year Level,school_address,suburb,postcode,Sector,sector,school_lon,school_lat
5010,Holy Family Primary School (Indooroopilly),,Prep Year,Year 6,37 Ward Street,Indooroopilly,4068,Non-State,Catholic,152.980039,-27.499961
5146,Holy Name Primary School (Toowoomba),,Prep Year,Year 6,188 Bridge Street,Toowoomba,4350,Non-State,Catholic,151.946747,-27.55062
5233,Holy Spirit Catholic School (Cranbrook),,Prep Year,Year 6,Hatchett Street,Cranbrook,4814,Non-State,Catholic,146.755653,-19.302168
8742,Holy Spirit College (Cooktown),,Year 8,Year 12,Cnr Hope and Burkitt Streets,Cooktown,4895,Non-State,Catholic,145.248444,-15.482536
374,Holy Spirit College (Mount Pleasant),,Year 7,Year 12,Baxter Drive,Mount Pleasant,4740,Non-State,Catholic,149.157496,-21.110374
5013,Holy Spirit School (Bray Park),,Prep Year,Year 6,102 Sparkes Road,Bray Park,4500,Non-State,Catholic,152.970934,-27.293943
5012,Holy Spirit School (New Farm),,Prep Year,Year 6,36 Villiers Street,New Farm,4005,Non-State,Catholic,153.045811,-27.465151
2094,Home Hill State High School,,Year 7,Year 12,First Street,Home Hill,4806,State,,147.423322,-19.667788
1380,Home Hill State School,,Prep Year,Year 6,113 Fourteenth Avenue,Home Hill,4806,State,,147.417063,-19.653358
470,Homebush State School,,Prep Year,Year 6,1181 Homebush Road,Homebush,4740,State,,149.050378,-21.27585
241,Homestead State School,,Early Childhood,Year 6,Flinders Highway,Homestead,4816,State,,145.657327,-20.360735
5483,Hope Adventist School (North Bundaberg),,Prep Year,Year 6,18 Walters Street,North Bundaberg,4670,Non-State,Independent,152.331434,-24.853016
9714,Horizons College of Learning and Enrichment (Caboolture),,Year 7,Year 12,2 King Street,Caboolture,4510,Non-State,Independent,152.954193,-27.085624
345,Howard State School,,Prep Year,Year 6,108 William Street,Howard,4659,State,,152.557835,-25.321935
2373,Hubbard's School (Milton),,Year 12,Year 12,15 Lang Parade,Milton,4064,Non-State,Independent,153.00241,-27.474466
388,Hughenden State School,,Prep Year,Year 12,12 Moran Street,Hughenden,4821,State,,144.196541,-20.845948
164,Humpybong State School,,Prep Year,Year 6,Ernest Street,Margate,4019,State,,153.108737,-27.246227
6309,Hymba Yumba Independent School (Springfield),,Prep Year,Year 12,6 Springfield Parkway,Springfield,4300,Non-State,Independent,152.90934,-27.66421
5424,Ignatius Park College (Cranbrook),,Year 7,Year 12,368-384 Ross River Road,Cranbrook,4814,Non-State,Catholic,146.75725,-19.299503
