stop_id,state_code,Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
246,NSW,Doonside,Cross,St,Ramp,-33.76362795,150.8692347,
247,NSW,Dora Creek,Main,Rd,Path,-33.083823100000004,151.5010419,
248,NSW,Dora Creek,Newport,Rd,Stairs,-33.08411433,151.5008644,
249,NSW,Dora Creek,Newport,Rd,Stairs,-33.08402158,151.500698,
250,NSW,Douglas Park,Camden,Rd,Path,-34.18323382,150.71054660000001,
251,NSW,Douglas Park,Camden,Rd,Path,-34.18330344,150.7105388,
252,NSW,Dulwich Grove LR,New Canterbury,Rd,Stairs,-33.904761,151.1390021,
253,NSW,Dulwich Grove LR,New Canterbury,Rd,Lift,-33.9047721,151.1389753,
254,NSW,Dulwich Hill LR,Bedford,Cres,Stairs,-33.910671799999996,151.14058469999998,
255,NSW,Dulwich Hill LR,Bedford,Cres,Lift,-33.9106266,151.14055580000002,
256,NSW,Dundas,Station,St,Path,-33.80402698,151.0331103,
257,NSW,Dundas,Kissing Point,Rd,Ramp,-33.80388354,151.0329178,
258,NSW,Dundas,Kissing Point,Rd,Stairs,-33.80389499,151.0328954,
259,NSW,Dundas,Kissing Point,Rd,Path,-33.80339752,151.032467,
260,NSW,Dungog,Brown,St,Ramp,-32.40255754,151.759385,
261,NSW,Dungog,Brown,St,Stairs,-32.40249309,151.759251,
262,NSW,East Hills,Thompson,Lane,Path,-33.96201112,150.9847269,
263,NSW,East Hills,Park,Rd,Ramp,-33.96157358,150.9844493,
264,NSW,East Hills,Park,Rd,Stairs,-33.96164228,150.9843435,
265,NSW,East Hills,Park,Rd,Ramp,-33.96173087,150.98425519999998,
266,NSW,East Maitland,Melbourne,St,Stairs,-32.74457268,151.58747409999998,
267,NSW,East Richmond,Bourke,St,Ramp,-33.60180319,150.7588294,
268,NSW,East Richmond,Bourke,St,Stairs,-33.6017457,150.7587291,
269,NSW,Eastwood,Railway,Pde,Ramp,-33.78992993,151.08266709999998,
270,NSW,Eastwood,Railway,Pde,Ramp,-33.79041058,151.0826361,
271,NSW,Eastwood,Railway,Pde,Lift,-33.79017064,151.0825639,
272,NSW,Eastwood,West,Pde,Lift,-33.79014905,151.08200219999998,
273,NSW,Eastwood,West,Pde,Path,-33.79014802,151.0819726,
274,NSW,Edgecliff,New South Head,Rd,Path,-33.87893677,151.236154,
275,NSW,Edmondson Park,Soliders,Pde,Lift,-33.96930476,150.8588642,
276,NSW,Edmondson Park,Soliders,Pde,Stairs,-33.96936246,150.8588449,
277,NSW,Emu Plains,Old Bathurst,Rd,Stairs,-33.74577768,150.6714125,
278,NSW,Emu Plains,Mackellar,St,Stairs,-33.74552422,150.6713807,
279,NSW,Emu Plains,Old Bathurst,Rd,Lift,-33.74582701,150.6713326,
280,NSW,Emu Plains,Mackellar,St,Lift,-33.74565742,150.67128359999998,
281,NSW,Engadine,Princes,Hwy,Ramp,-34.06753979,151.0148428,
282,NSW,Engadine,Princes,Hwy,Ramp,-34.06719539,151.0147353,
283,NSW,Engadine,Princes,Hwy,Lift,-34.06776904,151.0146815,
284,NSW,Engadine,Princes,Hwy,Lift,-34.06738183,151.01455159999998,
285,NSW,Epping,Langston,Pl,Path,-33.77254801,151.0822785,
286,NSW,Epping,Beecroft,Rd,Stairs,-33.77284112,151.0818724,
287,NSW,Epping,Beecroft,Rd,Lift,-33.77265225,151.0818045,
288,NSW,Epping,Beecroft,Rd,Stairs,-33.77291584,151.0816408,
289,NSW,Epping,Beecroft,Rd,Lift,-33.77272037,151.0815679,
290,NSW,Ersineville,Erskineville,Rd,Path,-33.90005302,151.1855565,
291,NSW,Exeter,Ringwood,Rd,Path,-34.61346677,150.31779980000002,
292,NSW,Exeter,Bundanoon,Rd,Path,-34.61337723,150.3173592,
293,NSW,Exhibition Centre LR,Darling,Dr,Ramp,-33.87677819,151.1994751,
294,NSW,Exhibition Centre LR,Pyrmont,St,Stairs,-33.87678771,151.19925039999998,
295,NSW,Fairfield,Dale,St,Path,-33.87255271,150.957049,
296,NSW,Fairfield,Dale,St,Stairs,-33.87250991,150.95700680000002,
297,NSW,Fairfield,The Crescent,,Path,-33.87228222,150.9568998,
298,NSW,Fairfield,The Crescent,,Stairs,-33.87238918,150.9568642,
299,NSW,Fairfield,Dale,St,Lift,-33.87264464,150.9568189,
300,NSW,Fairfield,The Crescent,,Lift,-33.87249718,150.956712,
301,NSW,Fairy Meadow,Elliotts,Rd,Stairs,-34.39509691,150.8965771,
302,NSW,Fairy Meadow,Elliotts,Rd,Stairs,-34.39505996,150.8964522,
303,NSW,Fassifern,Tucker,Cl,Ramp,-32.98567466,151.5812081,
304,NSW,Fassifern,Tucker,Cl,Stairs,-32.98568106,151.5811753,
305,NSW,Fassifern,Tucker,Cl,Ramp,-32.98557663,151.58084169999998,
306,NSW,Faulconbridge,Great Western,Hwy,Ramp,-33.69681647,150.5349352,
307,NSW,Faulconbridge,Great Western,Hwy,Stairs,-33.69678014,150.5349261,
308,NSW,Faulconbridge,Great Western,Hwy,Stairs,-33.69654047,150.534819,
309,NSW,Faulconbridge,Great Western,Hwy,Stairs,-33.69633199,150.53456699999998,
310,NSW,Faulconbridge,Great Western,Hwy,Ramp,-33.69636984,150.53443090000002,
311,NSW,Fish Market LR,Miller,St,Path,-33.87046367,151.1921783,
312,NSW,Fish Market LR,Miller,St,Path,-33.87076898,151.1916529,
313,NSW,Flemington,The Crescent,,Stairs,-33.86515478,151.0706765,
314,NSW,Flemington,The Crescent,,Stairs,-33.86389281,151.07023909999998,
315,NSW,Gerringong,Belinda,St,Ramp,-34.74477882,150.8176504,
316,NSW,Glebe LR,Burton,St,Stairs,-33.87707686,151.1875647,
317,NSW,Glebe LR,Bayview,St,Ramp,-33.87729496,151.187253,
318,NSW,Glenbrook,Burfitt,Pde,Ramp,-33.76902646,150.6212638,
319,NSW,Glenfield,Railway,Pde,Stairs,-33.97207776,150.8935775,
320,NSW,Glenfield,service road,,Stairs,-33.97173912,150.893269,
321,NSW,Glenfield,Railway,Pde,Lift,-33.97228674,150.89325569999997,
322,NSW,Glenfield,service road,,Lift,-33.97183034,150.8931736,
323,NSW,Glenfield,Railway,Pde,Stairs,-33.972475700000004,150.8931251,
324,NSW,Gordon,Werona,Ave,Ramp,-33.75598413,151.15486409999997,
325,NSW,Gordon,Werona,Ave,Ramp,-33.75535054,151.154396,
326,NSW,Gordon,St Johns,Ave,Stairs,-33.75612016,151.15417580000002,
327,NSW,Gordon,St Johns,Ave,Ramp,-33.75596499,151.1540965,
328,NSW,Gordon,Wade,Lane,Ramp,-33.75568255,151.1539778,
329,NSW,Gosford,Burns,Cres,Lift,-33.42348002,151.34194430000002,
330,NSW,Gosford,Burns,Cres,Stairs,-33.42348165,151.341911,
331,NSW,Gosford,Showground,Rd,Stairs,-33.423330199999995,151.3414142,
332,NSW,Gosford,Showground,Rd,Path,-33.42338314,151.3414013,
333,NSW,Goulburn,Sloane,St,Path,-34.75901982,149.7205882,
334,NSW,Goulburn,Park,Rd,Path,-34.75812698,149.7192494,
335,NSW,Granville,Memorial,Dr,Ramp,-33.832776700000004,151.0114916,
336,NSW,Granville,Memorial,Dr,Ramp,-33.83290042,151.0114055,
337,NSW,Green Square,Botany,Rd,Stairs,-33.90596608,151.2030771,
338,NSW,Green Square,Botany,Rd,Stairs,-33.90581837,151.20303140000001,
339,NSW,Green Square,O'Riordan,St,Escalators,-33.90627864,151.20269340000002,
340,NSW,Green Square,O'Riordan,St,Lift,-33.90621492,151.2025402,
341,NSW,Greta,Nelson,St,Ramp,-32.68678796,151.384282,
342,NSW,Greta,Mansfield,St,Ramp,-32.68667582,151.3840538,
343,NSW,Guildford,Railway,Tce,Ramp,-33.854233,150.9846821,
344,NSW,Guildford,Military,Rd,Ramp,-33.8538226,150.984647,
345,NSW,Guildford,Railway,Tce,Stairs,-33.85444912,150.9845955,
346,NSW,Guildford,Railway,Tce,Lift,-33.85456824,150.9844866,
347,NSW,Guildford,Military,Rd,Ramp,-33.85416769,150.98440369999997,
348,NSW,Guildford,Military,Rd,Stairs,-33.85425733,150.9843285,
349,NSW,Guildford,Military,Rd,Stairs,-33.85433088,150.98427769999998,
350,NSW,Guildford,Military,Rd,Lift,-33.85449232,150.984227,
351,NSW,Gymea,Gymea Bay,Rd,Lift,-34.03490791,151.08520819999998,
352,NSW,Gymea,Gymea Bay,Rd,Stairs,-34.03487034,151.0851825,
353,NSW,Hamilton,Beaumont ,St,Stairs,-32.91802537,151.74851130000002,
354,NSW,Hamilton,Beaumont ,St,Ramp,-32.9185304,151.7483975,
355,NSW,Hamilton,Beaumont ,St,Stairs,-32.91838537,151.7482699,
356,NSW,Hamilton,Beaumont ,St,Ramp,-32.91841859,151.7482552,
357,NSW,Harris Park,Marion,St,Ramp,-33.82335758,151.00793259999998,
358,NSW,Harris Park,Station W,St,Stairs,-33.82326239,151.0074636,
359,NSW,Hawkesbury River,Danger,Rd,Stairs,-33.54700863,151.22671509999998,
360,NSW,Hawkesbury River,Danger,Rd,Stairs,-33.54710145,151.2265988,
361,NSW,Hawthorne LR,Darley,Rd,Path,-33.87958216,151.14755019999998,
362,NSW,Hawthorne LR,Darley,Rd,Path,-33.8795003,151.1471067,
363,NSW,Hazelbrook,Great Western,Hwy,Stairs,-33.72353033,150.454573,
364,NSW,Hazelbrook,Great Western,Hwy,Ramp,-33.72308654,150.454017,
365,NSW,Hazelbrook,Railway,Pde,Path,-33.72367342,150.45396730000002,
366,NSW,Heathcote,Wilson,Pde,Path,-34.08792484,151.0084291,
367,NSW,Heathcote,Wilson,Pde,Ramp,-34.08793975,151.00841440000002,
368,NSW,Heathcote,Princes,Hwy,Ramp,-34.087785600000004,151.008298,
369,NSW,Heathcote,Princes,Hwy,Path,-34.08780235,151.0082859,
370,NSW,Helensburgh,Tunnel,Rd,Lift,-34.17718912,150.9942468,
371,NSW,Helensburgh,Tunnel,Rd,Stairs,-34.17714736,150.99408590000002,
