,,,,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count
period,,,,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
suburb,postcode,Category,Subcategory,,,,,,,,,,,,,,,,,,,,,,
ALBERTON,5014,HOMICIDE AND RELATED OFFENCES,Murder,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBERTON,5014,HOMICIDE AND RELATED OFFENCES,Other homicide and related offences,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBERTON,5014,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0
ALBERTON,5014,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
ALBERTON,5014,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,0,2,1,0,0,1,2,0,1,1,1,2,2,1,1,0,0,0,0,0,0,0
ALBERTON,5014,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,2,0,0,1,0,3,2,1,4,1,2,0,0,0,0,1,0,1,1,1,1,0
ALBERTON,5014,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,8,5,11,9,7,4,12,8,6,8,5,12,7,5,5,4,7,8,3,5,5,1
ALBERTON,5014,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,1,2,0,0,0,3,0,2,0,0,1,2,0,1,1,2,0,0,1,0,1,0
ALBERTON,5014,ROBBERY AND RELATED OFFENCES,Aggravated robbery,1,1,0,0,0,1,1,1,0,1,0,2,0,0,0,0,1,1,1,0,0,1
ALBERTON,5014,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ALBERTON,5014,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,2,0,0,2,2,2,5,3,3,3,1,3,3,2,4,0,1,1,0,0,1,2
ALBERTON,5014,SERIOUS CRIMINAL TRESPASS,SCT - Residence,5,4,9,3,3,6,11,1,5,3,7,3,7,2,9,2,2,4,3,4,2,6
ALBERTON,5014,THEFT AND RELATED OFFENCES,Other theft,6,8,11,19,4,2,7,4,8,7,8,7,3,5,7,8,6,12,4,8,19,20
ALBERTON,5014,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1,1,0,0,2,1,1,3,0,0,1,0,1,1,0,0,0,1,0,2,2,1
ALBERTON,5014,THEFT AND RELATED OFFENCES,Theft from motor vehicle,3,3,4,4,10,1,4,10,18,4,3,6,8,7,5,15,2,7,4,3,3,10
ALBERTON,5014,THEFT AND RELATED OFFENCES,Theft from shop,2,1,4,4,3,5,7,5,0,1,0,0,4,1,0,4,3,1,3,3,4,2
ALBERTON,5014,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,6,2,1,2,5,1,3,0,4,0,1,5,2,1,0,0,1,1,1,2,0,2
ALDGATE,5154,ACTS INTENDED TO CAUSE INJURY,Common Assault,0,0,1,3,0,1,0,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0
ALDGATE,5154,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ALDGATE,5154,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,0,2,1,1,0,1,2,1,1,2,0,0,1,2,7,2,1,0,0,0,0,1
ALDGATE,5154,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALDGATE,5154,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
ALDGATE,5154,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0
ALDGATE,5154,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALDGATE,5154,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALDGATE,5154,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1,6,2,1,0,0,2,0,0,0,0,1,1,3,0,2,1,0,0,1,0,0
ALDGATE,5154,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,7,7,7,2,2,6,5,9,8,4,0,3,4,11,5,5,0,2,1,4,1,4
ALDGATE,5154,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDGATE,5154,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,2,0,2,2,1,3,2,2,0,1,0,1,1,1,2,4,4,1,0,0,1,0
ALDGATE,5154,SERIOUS CRIMINAL TRESPASS,SCT - Residence,2,3,2,2,4,0,1,2,1,0,4,0,1,3,1,0,1,2,1,0,1,0
ALDGATE,5154,THEFT AND RELATED OFFENCES,Other theft,7,1,2,1,3,3,1,6,4,3,1,2,2,7,1,4,2,5,3,1,1,1
ALDGATE,5154,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ALDGATE,5154,THEFT AND RELATED OFFENCES,Theft from motor vehicle,0,2,0,1,0,1,6,1,3,1,1,1,0,2,0,0,2,1,0,1,1,0
ALDGATE,5154,THEFT AND RELATED OFFENCES,Theft from shop,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
ALDGATE,5154,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ALDINGA,5173,ACTS INTENDED TO CAUSE INJURY,Assault Police,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALDINGA,5173,ACTS INTENDED TO CAUSE INJURY,Common Assault,0,3,4,2,2,1,0,2,1,1,2,0,2,2,1,1,0,0,1,1,0,0
ALDINGA,5173,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDINGA,5173,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1,0,0,1,0,0,0,3,0,0,0,1,0,0,2,3,1,2,0,0,2,1
