suburb,postcode,Category,Subcategory,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
SALISBURY PARK,5109,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1,,,1,,1,2,,,,1,,1,,1,2,4,4,1,1,,1
SALISBURY PARK,5109,SERIOUS CRIMINAL TRESPASS,SCT - Residence,2,8,7,2,3,,2,,2,7,6,4,4,1,2,4,,3,2,3,1,5
SALISBURY PARK,5109,THEFT AND RELATED OFFENCES,Other theft,10,10,2,1,3,5,5,5,2,4,3,2,1,4,4,3,4,1,2,5,4,5
SALISBURY PARK,5109,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1,,1,,,,1,,,1,,,,3,,,,,1,1,,
SALISBURY PARK,5109,THEFT AND RELATED OFFENCES,Theft from motor vehicle,6,2,5,1,5,1,7,2,5,5,8,5,5,7,2,3,,2,,1,1,3
SALISBURY PARK,5109,THEFT AND RELATED OFFENCES,Theft from shop,1,,1,2,1,2,,,,,,,,,,,3,,1,1,,1
SALISBURY PARK,5109,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,1,1,1,2,2,2,1,1,,3,2,1,1,,2,,2,4,1,1,4
SALISBURY PLAIN,5109,ACTS INTENDED TO CAUSE INJURY,Assault Police,,,,,,,,,,1,,,,,,,,,,,,
SALISBURY PLAIN,5109,ACTS INTENDED TO CAUSE INJURY,Common Assault,2,3,,,3,,2,2,1,1,2,,1,5,1,1,,,,,1,
SALISBURY PLAIN,5109,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,,,1,1,,,,,,,,,,,,,,,
SALISBURY PLAIN,5109,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1,,3,2,5,2,2,2,2,5,6,1,,3,,2,,,,,3,
SALISBURY PLAIN,5109,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,2,,,,,,,,,,,,,,,,,1,,
SALISBURY PLAIN,5109,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,2,3,,,,1,3,,2,2,2,,5,,2,,2,,,,1,1
SALISBURY PLAIN,5109,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,,,1,,,,,,,,,1,,,,,,
SALISBURY PLAIN,5109,HOMICIDE AND RELATED OFFENCES,Other homicide and related offences,,,,,,,,,,,,,,,,,,,,,,1
SALISBURY PLAIN,5109,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",1,,,,,,,,,,,,,,,,,,,,,
SALISBURY PLAIN,5109,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,,,,,,,,,,,1,,,,2,1,1,
SALISBURY PLAIN,5109,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,1,,,,,,,1,1,,,1,,,,,,,1,,
SALISBURY PLAIN,5109,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1,,1,,3,,,,1,,2,,2,1,1,1,,,,,,
SALISBURY PLAIN,5109,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,6,4,4,2,5,4,9,9,3,7,7,1,1,6,4,4,7,3,7,2,4,5
SALISBURY PLAIN,5109,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,1,3,,1,,,,,,3,1,,,,,,1,1,,
SALISBURY PLAIN,5109,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,1,1,1,,,1,,,,,,1,1,,,,1,,,
SALISBURY PLAIN,5109,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,1,,,,,,,,,,,,,,,,,,,,,
SALISBURY PLAIN,5109,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1,6,6,3,4,6,1,3,5,3,11,1,5,,4,4,,2,5,1,4,3
SALISBURY PLAIN,5109,SERIOUS CRIMINAL TRESPASS,SCT - Residence,2,1,1,,,,1,1,,11,4,1,4,3,1,,,3,2,,,1
SALISBURY PLAIN,5109,THEFT AND RELATED OFFENCES,Other theft,6,7,2,4,,6,9,2,3,2,6,2,5,4,5,5,5,5,5,2,3,2
SALISBURY PLAIN,5109,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,1,1,,,,,,,1,1,1,,,,,,,,,,
SALISBURY PLAIN,5109,THEFT AND RELATED OFFENCES,Theft from motor vehicle,5,2,3,6,3,4,1,6,4,4,4,3,2,3,4,5,1,3,2,2,1,1
SALISBURY PLAIN,5109,THEFT AND RELATED OFFENCES,Theft from shop,1,3,1,,1,4,,,1,2,1,6,4,1,1,2,,1,,,2,
SALISBURY PLAIN,5109,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1,2,4,3,4,1,1,1,1,,3,4,4,4,3,3,1,,2,6,1,2
SALISBURY SOUTH,5106,ACTS INTENDED TO CAUSE INJURY,Common Assault,,1,,,,1,1,,,1,,,,,,,,1,,,,
SALISBURY SOUTH,5106,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,2,1,1,1,,,1,,1,,1,2,2,1,1,,,,1
SALISBURY SOUTH,5106,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,1,,,,,1,,,,,,,,1,,1,1,,1,,
SALISBURY SOUTH,5106,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,1,,,,,,,,,,,,,,,,,,
SALISBURY SOUTH,5106,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,1,,1,,,,,,,,1,,,,,,,
SALISBURY SOUTH,5106,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,,,,,,1,,,,1,,,,,,,,,,
SALISBURY SOUTH,5106,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,4,,2,4,4,2,2,2,2,2,2,4,2,1,3,2,2,4,2,1,2,1
SALISBURY SOUTH,5106,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,1,,1,,,2,,,,,,1,,1,,,,,,,1
SALISBURY SOUTH,5106,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,3,5,6,4,1,8,1,4,,,1,2,4,2,3,2,1,2,2,3,
SALISBURY SOUTH,5106,THEFT AND RELATED OFFENCES,Other theft,2,1,5,3,3,3,2,2,4,1,,3,4,2,2,3,4,5,5,3,,4
SALISBURY SOUTH,5106,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,1,,,,,,,1,,,,,,,,,,,,,
SALISBURY SOUTH,5106,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,3,2,2,4,,,,1,,,2,1,2,,,,3,,1,,
SALISBURY SOUTH,5106,THEFT AND RELATED OFFENCES,Theft from shop,,,,,1,,,,,,,,1,,,,,,,3,,
SALISBURY SOUTH,5106,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1,,3,1,,,,,2,,,,,,,1,,2,1,2,,
SALT CREEK,5264,HOMICIDE AND RELATED OFFENCES,Other homicide and related offences,,,,,,,,,,,,,,,1,,,,,,,
SALT CREEK,5264,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,,,,,,,,,1,,,,,,,
SALT CREEK,5264,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,,,,,,,,,,1,,,,,,,,
SALT CREEK,5264,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,1,,,,,,,1,,1,,,,,,,,,,
SALT CREEK,5264,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,1,,,,,,,,,,,,,,,,,,,
SALT CREEK,5264,THEFT AND RELATED OFFENCES,Other theft,1,,1,1,,1,,1,,1,,1,1,1,,,3,,,,,
SALT CREEK,5264,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,1,,,,,,,,1,,,,,,,,
SALT CREEK,5264,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,1,,,,,,,,,,,,,,,,,,,,
SALTIA,5433,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1,,,,,,,,,,,,,,,,,,,,,
SALTIA,5433,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,,,,,,1,,,,
SAMPSON FLAT,5114,ACTS INTENDED TO CAUSE INJURY,Common Assault,,,,,2,,,,,,,,,,,,1,,,,,
SAMPSON FLAT,5114,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,,,,,,,,,1,,,,,,,
SAMPSON FLAT,5114,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,,,,,,,,,1,,,,,,,,,,,
SAMPSON FLAT,5114,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,1,,,,,,,,,1,1,,,,,,,1
SAMPSON FLAT,5114,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,,,,,,,2,,,,,,,,,,,1
SAMPSON FLAT,5114,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,1,,,,,,,,,2,,,,,,,,
SAMPSON FLAT,5114,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,1,1,1,,,2,,,,,,,,,,,,,1
SAMPSON FLAT,5114,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,1,,,,,,,,,,,
SAMPSON FLAT,5114,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,1,,,,,,,,,,,,,,,,,,,
SAMPSON FLAT,5114,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,,,,,,,1,,,,,,,,
SANDALWOOD,5309,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,1,,,,,,,,,,,,,,,,,,,,
SANDALWOOD,5309,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,,,,,,,,,,,,,,,,1,
SANDALWOOD,5309,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,1,,,,,,,,,,,,,,,,,,,,
SANDALWOOD,5309,THEFT AND RELATED OFFENCES,Other theft,,2,1,,1,,,,,,1,,1,2,,,1,,1,,,
SANDERGROVE,5255,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,,,,,,,,,,,,,,,,1
SANDERGROVE,5255,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,,,,,,,,1,,,,,,,,,,
SANDERGROVE,5255,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,,,,,,,1,,,,,,,,,,
SANDERGROVE,5255,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,,,,,,,,1,,1,,,,,,,
SANDERSTON,5237,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,1,,,,,,,,,,,,
SANDERSTON,5237,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,1,,,,,,,,,,,
SANDERSTON,5237,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,,,,,,,1,,,,,,,,,,
SANDILANDS,5571,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,,,,1,,,,,,,,,,,,,
SANDILANDS,5571,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,,,,,,1,,,,
SANDILANDS,5571,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,,,,,,,,,,,,,1,,,,
SANDLETON,5356,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,,,,,,,,,,,,,,1,1,,
SANDLETON,5356,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,,,1,,,,,,,,,,,,,,,
SANDLETON,5356,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,,,1,1,,1,,,,,,,,,,,
SANDLETON,5356,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,,,,,,,,,1,1,,,
SANDLETON,5356,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,,,,,,,,1,,,,,,,,,,
SANDLETON,5356,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,,,,,,,,,,,,,,,,1,
SANDLETON,5356,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,1,,,,,1,,,,,,,,,
SANDY CREEK,5350,ACTS INTENDED TO CAUSE INJURY,Assault Police,,,,1,,,,,,,,,,,,,,,,,,
SANDY CREEK,5350,ACTS INTENDED TO CAUSE INJURY,Common Assault,,,,,,,,,,,,,,,,1,,,,,,
SANDY CREEK,5350,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,,,,1,,,,,,,,,,,1,
SANDY CREEK,5350,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1,,,,,,,,,,,,,,,,,,,,,
SANDY CREEK,5350,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,,,,,,,,,,,,1,,,,,,
SANDY CREEK,5350,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,,,,,,,,,,,,,,1,,,,1,,
SANDY CREEK,5350,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,1,,,,,,,,,,,,,,,1,,,,
SANDY CREEK,5350,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1,,1,,,2,,1,,,1,,,1,1,,,1,,1,2,1
SANDY CREEK,5350,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,1,,,1,,1,,1,,2,,,,,
SANDY CREEK,5350,THEFT AND RELATED OFFENCES,Other theft,,1,,2,,,,,,,,,,,,1,,,,,,1
SANDY CREEK,5350,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,2,,,,,,,,,,,,,,,,
SANDY CREEK,5350,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,,,,,,,,,,,,,,,1
SANDY GROVE,5275,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,,1,,,,,,,,
SAPPHIRE TOWN,5222,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,1,,,,,,,,,,,,
SAPPHIRETOWN,5222,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,,,,,1,,,,,,,,,,,,,
SAPPHIRETOWN,5222,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,,,1,,,,,,,,,,,,,,
SAPPHIRETOWN,5222,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,,1,,,,,,,,,,,,,,
SAPPHIRETOWN,5222,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,1,,,,,,,,,,,,,,,,,,,,,
SAPPHIRETOWN,5222,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,1,1,,,,,,,,,,,,,,,,,,
SAPPHIRETOWN,5222,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1,,,,,,,,,,,,,,,,,,,,,
SAPPHIRETOWN,5222,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,1,,,,,,,,,,,,,,
SCOTT CREEK,5153,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,1,,,,,1,,,,,,,,,,,,
SCOTT CREEK,5153,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,,,,1,,,,,,,,,,,,,,,
SCOTT CREEK,5153,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,,,,,,,,1,,,,,,,,,,,,
SCOTT CREEK,5153,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1,,,,,,1,1,1,,,,,,,1,,,,,,
SCOTT CREEK,5153,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,,,,,,,,,,,1,1,1,,,1,,,
SCOTT CREEK,5153,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1,,,,1,,,,,,,,1,,,,,,,,2,
SCOTT CREEK,5153,THEFT AND RELATED OFFENCES,Other theft,,,,,,,1,,,,,2,1,,,,,,,,,1
SCOTT CREEK,5320,THEFT AND RELATED OFFENCES,Other theft,,,,,,,,,,,,,,,,,1,,,,,
SCOTT CREEK,5320,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,,,,,,,,,,1,,,,,
SCRUBBY FLAT,5238,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,2,,,,,,,,,,,,,,,,,,,,
SEACLIFF,5049,ACTS INTENDED TO CAUSE INJURY,Assault Police,,1,,,,,,,,,,,,,,,,,,,,
SEACLIFF,5049,ACTS INTENDED TO CAUSE INJURY,Common Assault,2,2,3,3,1,3,1,2,,1,2,1,2,4,,,,3,1,2,1,3
SEACLIFF,5049,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,,,,,,,,,,,,,,,1,,,,
SEACLIFF,5049,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,2,,1,1,3,4,2,2,,2,2,2,,2,4,3,1,1,1,3,2,
SEACLIFF,5049,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,,,,,,,,,,,,,,,,1,,1
SEACLIFF,5049,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,1,,,,,,,,,1,,1,,,1,,,,,1,
SEACLIFF,5049,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,,,,,,,,,,1,,,,,,,,
SEACLIFF,5049,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,1,1,,1,,,,2,,,1,1,,,,1,1,1,,,
SEACLIFF,5049,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,,,,,,,,2,,1,,,,1,1,,,
SEACLIFF,5049,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,2,,,,,,,,,,,1,1,,1,,1,2,1,,
SEACLIFF,5049,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,1,2,1,,,2,1,,1,2,1,3,1,,,3,,2,,2
SEACLIFF,5049,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,4,5,4,6,6,8,15,3,8,8,6,3,6,5,8,,2,4,7,2,4,5
SEACLIFF,5049,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,1,1,,,,,,,,,3,,1,,1,,,,,1,1,4
SEACLIFF,5049,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,,,,,,,,,,,,,,1,,,,,,
SEACLIFF,5049,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,3,4,,1,1,2,4,1,2,1,,,2,4,3,1,2,3,1,1,1,
SEACLIFF,5049,SERIOUS CRIMINAL TRESPASS,SCT - Residence,2,6,2,2,4,4,3,2,7,3,3,3,1,2,2,3,2,4,1,3,,1
SEACLIFF,5049,THEFT AND RELATED OFFENCES,Other theft,2,5,7,2,4,3,3,3,3,3,5,4,1,8,5,4,5,2,6,4,2,9
SEACLIFF,5049,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,2,,,,,,1,,,,1,,,,2,,,
SEACLIFF,5049,THEFT AND RELATED OFFENCES,Theft from motor vehicle,3,3,6,2,1,5,3,2,2,5,1,6,1,3,5,7,4,3,,3,1,2
SEACLIFF,5049,THEFT AND RELATED OFFENCES,Theft from shop,,,,,,1,,,1,,,,,,1,,,,,,,
SEACLIFF,5049,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,2,1,,,1,2,1,,1,1,1,,1,,1,1,,1,,1,1
SEACLIFF PARK,5049,ACTS INTENDED TO CAUSE INJURY,Assault Police,,,,,,,,,,1,,,,,,,,,,,,
SEACLIFF PARK,5049,ACTS INTENDED TO CAUSE INJURY,Common Assault,,1,,1,,,1,,,1,1,1,1,,1,1,1,3,,,,1
SEACLIFF PARK,5049,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,1,,,,,,,,,,,,,,,,,,1
SEACLIFF PARK,5049,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,2,1,,,2,,2,1,5,3,3,1,1,,1,3,,1,,1,1
SEACLIFF PARK,5049,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,1,2,,1,2,1,1,,,,,,2,,1,,2,,
SEACLIFF PARK,5049,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,1,,2,1,1,,,3,2,1,1,1,,1,1,,,1,1,1,1
SEACLIFF PARK,5049,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,1,,,,,,,,1,,,,1,,,,,,,,
SEACLIFF PARK,5049,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,2,,1,,,,,1,,1,,,,2,2,,,,,2,
SEACLIFF PARK,5049,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,,,1,,,,,,,,,,,,,,,,,,
SEACLIFF PARK,5049,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2,5,3,3,1,2,5,2,,2,3,5,1,2,3,7,2,1,2,1,5,6
SEACLIFF PARK,5049,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,2,1,,1,1,1,,1,,1,,,2,1,1,,1,1,,,
SEACLIFF PARK,5049,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,1,,,,,,,,,,,,,,,,,,,
SEACLIFF PARK,5049,ROBBERY AND RELATED OFFENCES,Blackmail and extortion,,,,,,,,,,,,,,,1,,,,,,,
SEACLIFF PARK,5049,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,2,,1,1,2,,3,,1,,3,2,,,,2,,2,,2,,
SEACLIFF PARK,5049,SERIOUS CRIMINAL TRESPASS,SCT - Residence,6,1,1,,4,2,2,,2,,1,3,,1,10,2,4,1,2,,2,3
SEACLIFF PARK,5049,THEFT AND RELATED OFFENCES,Other theft,3,2,2,1,1,4,3,,2,,5,2,2,,5,2,1,1,3,1,2,
SEACLIFF PARK,5049,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,1,,,,1,,,,,,,,,,,,,,,,
SEACLIFF PARK,5049,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2,5,2,4,7,2,1,5,3,3,4,6,4,5,2,3,4,2,1,3,1,4
SEACLIFF PARK,5049,THEFT AND RELATED OFFENCES,Theft from shop,,,,,,,,1,,,1,,,,1,,,,1,,,
SEACLIFF PARK,5049,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,1,1,2,,,2,1,,1,1,,1,,,1,1,2,,1,1,
SEACOMBE GARDENS,5047,ACTS INTENDED TO CAUSE INJURY,Assault Police,1,,,,,,,,,1,1,1,,1,,,2,,,,,
SEACOMBE GARDENS,5047,ACTS INTENDED TO CAUSE INJURY,Common Assault,1,3,1,1,3,,4,7,2,3,2,,1,1,3,5,2,3,1,2,5,5
SEACOMBE GARDENS,5047,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,,,,2,1,,,,,,,,,,,,,,
SEACOMBE GARDENS,5047,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,6,,1,5,2,3,3,4,5,5,11,2,4,9,4,4,10,12,3,3,10,8
SEACOMBE GARDENS,5047,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,1,,1,,,,,,,,1,,,,,,,
SEACOMBE GARDENS,5047,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,1,,,2,2,2,1,,,1,1,,2,2,3,1,3,,,1
SEACOMBE GARDENS,5047,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,,,,1,,,,,,,,1,,,,,,
SEACOMBE GARDENS,5047,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",1,1,,4,1,2,4,,,1,,2,2,,1,1,2,,1,2,3,1
SEACOMBE GARDENS,5047,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,1,,,,1,1,,,,,1,,2,,,,,,,,,
SEACOMBE GARDENS,5047,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,1,3,1,,,,,,,1,2,,2,,2,1,1,1,,3,,
SEACOMBE GARDENS,5047,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,7,8,27,4,2,3,2,5,6,,3,2,8,1,1,1,4,9,3,7,3,7
SEACOMBE GARDENS,5047,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,15,18,19,10,9,14,11,10,12,10,14,7,20,16,16,15,12,19,13,14,15,22
SEACOMBE GARDENS,5047,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,1,1,,1,1,1,,2,1,,1,3,3,2,2,1,2,2,1,2,
SEACOMBE GARDENS,5047,ROBBERY AND RELATED OFFENCES,Aggravated robbery,2,,3,,,,,2,,,1,,4,,1,1,1,1,,,,
SEACOMBE GARDENS,5047,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,1,,,,,1,,1,,,,,,,,,,,,,2,
SEACOMBE GARDENS,5047,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1,4,1,1,4,1,3,3,3,4,5,1,6,2,,2,3,2,,3,5,3
SEACOMBE GARDENS,5047,SERIOUS CRIMINAL TRESPASS,SCT - Residence,11,3,9,2,9,4,8,13,20,5,6,11,12,5,10,3,11,9,6,5,8,10
SEACOMBE GARDENS,5047,THEFT AND RELATED OFFENCES,Other theft,7,4,5,9,6,6,10,9,5,6,6,5,7,4,11,8,5,5,5,4,7,13
SEACOMBE GARDENS,5047,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,1,1,3,,,1,1,2,2,,,2,1,1,,,1,1,1,1,
SEACOMBE GARDENS,5047,THEFT AND RELATED OFFENCES,Theft from motor vehicle,8,6,7,5,4,6,7,5,11,7,4,2,7,8,5,11,8,4,6,3,4,9
SEACOMBE GARDENS,5047,THEFT AND RELATED OFFENCES,Theft from shop,,,,,,,,,3,,,,,1,,,,1,,2,,
SEACOMBE GARDENS,5047,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,5,3,3,2,1,2,1,,3,1,3,1,1,3,1,,3,1,,,3,4
SEACOMBE HEIGHTS,5047,ACTS INTENDED TO CAUSE INJURY,Common Assault,1,1,2,,,1,2,,1,2,,1,1,,,,,,,1,,3
SEACOMBE HEIGHTS,5047,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,1,,1,,3,1,,2,,1,1,1,1,,2,,2,,,,
SEACOMBE HEIGHTS,5047,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,1,,,,,,,,,,,,,,,,1,,
SEACOMBE HEIGHTS,5047,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,,,2,,1,1,,,,,1,,1,,,,,,1
SEACOMBE HEIGHTS,5047,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,1,,,,3,,,,1,1,1,,,1,1,,,1,1,,
SEACOMBE HEIGHTS,5047,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,1,,,,,,,,,1,,,,,,,,,
SEACOMBE HEIGHTS,5047,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,,5,,5,1,2,,,,,1,,,1,,,1,,,,2,
SEACOMBE HEIGHTS,5047,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,3,3,,3,,2,2,1,5,1,2,,1,1,4,4,1,2,3,2,,
