suburb,postcode,Category,Subcategory,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
ALDINGA,5173,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,,,2,,1,,,1,,,,,,,,,,,,
ALDINGA,5173,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,1,1,2,2,2,1,,,1,2,1,2,2,1,1,,,2,2,2,1
ALDINGA,5173,THEFT AND RELATED OFFENCES,Theft from shop,,,,1,,,,,,,1,,,1,,,1,1,1,,,2
ALDINGA,5173,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,2,,1,1,,,1,2,,,2,,1,1,,,,1,,,1,
ALDINGA BEACH,5173,ACTS INTENDED TO CAUSE INJURY,Assault Police,2,,1,1,,1,,1,1,,1,,,,1,,1,2,1,,5,
ALDINGA BEACH,5173,ACTS INTENDED TO CAUSE INJURY,Common Assault,5,10,13,10,10,9,11,6,8,8,10,5,18,10,7,7,5,9,11,11,10,8
ALDINGA BEACH,5173,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,1,1,2,,1,,,,1,2,1,,1,,2,1,,1,1,,
ALDINGA BEACH,5173,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,13,9,15,10,11,20,10,12,11,13,23,9,17,15,13,14,14,14,10,8,18,13
ALDINGA BEACH,5173,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,1,1,1,1,1,,3,,,,2,2,,,,,1,,,,1,
ALDINGA BEACH,5173,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,2,3,3,2,1,1,4,2,2,1,5,2,2,5,4,2,3,3,,4,1,3
ALDINGA BEACH,5173,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",1,,,,,,1,,1,,,,,,,,1,1,,1,,
ALDINGA BEACH,5173,HOMICIDE AND RELATED OFFENCES,Murder,,,,1,,,,,,,1,,,,,,,,,,,
ALDINGA BEACH,5173,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",5,2,2,5,3,4,1,6,4,2,3,2,5,3,3,7,3,2,3,2,4,2
