,Unnamed: 0_level_0,Quarter,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4
,district,suburb,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences
64,,Watson,0,7,0,0,7,1,18,0,0,0,15,5,11,0,1,0,0,4,1,15,0,0,3,25,6,13,0,3,2,1,6,1,14,0,0,3,11,10,11,0,8,1,0,13,1,25,0,0,0,14,9,13
65,South Canberra,,1,43,34,1,135,62,318,5,0,30,645,207,232,1,27,13,1,104,52,233,8,1,21,707,161,212,1,45,2,0,68,27,244,2,0,22,508,122,226,0,41,4,1,71,22,278,1,0,24,378,215,218
66,,Barton,0,1,0,0,9,1,14,0,0,1,33,6,15,0,2,0,0,13,4,17,0,0,1,13,6,14,0,1,0,0,2,0,8,0,0,2,32,1,7,0,2,0,0,7,1,17,0,0,0,27,4,8
67,,Beard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1
68,,Capital Hill,0,0,0,0,0,1,0,0,0,1,4,0,6,0,0,0,0,0,1,1,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
69,,Deakin,0,1,0,0,15,2,33,1,0,3,88,32,25,0,0,4,0,8,1,13,0,0,1,63,2,22,0,2,0,0,3,2,12,0,0,0,59,3,9,0,2,0,1,3,2,15,0,0,5,55,17,26
70,,Forrest,0,1,0,0,7,4,12,0,0,3,20,10,4,0,1,0,0,14,4,12,0,0,0,15,6,4,0,0,0,0,1,0,10,1,0,2,14,4,13,0,1,0,0,2,1,8,0,0,1,17,6,4
71,,Fyshwick,0,1,0,0,31,8,80,0,0,9,188,20,42,0,5,2,1,14,7,72,1,0,4,237,19,36,0,7,1,0,33,5,79,0,0,3,154,19,43,0,3,0,0,27,2,64,0,0,5,80,18,29
72,,Griffith,0,4,0,0,14,12,61,3,0,4,41,34,43,0,5,0,0,16,13,47,0,0,4,54,50,34,0,9,0,0,6,6,50,0,0,4,24,25,39,0,14,1,0,12,5,61,1,0,3,40,54,44
73,,Harman,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
