,,,0
6,Q4,Motor vehicle theft,0.0
6,Q4,Theft (excluding Motor Vehicles),7.0
6,Q4,Robbery,0.0
6,Q4,Road fatality,0.0
6,Q4,Road collision with injury,1.0
6,Q4,Traffic Infringement Notices,14.0
6,Q4,Property damage,11.0
6,Q4,Other offences,21.0
6,Q4,suburb,
6,Q4,district,
6,Quarter,Homicide,
6,Quarter,Assault,
6,Quarter,Sexual assault,
6,Quarter,Offences against a person,
6,Quarter,Burglary,
6,Quarter,Motor vehicle theft,
6,Quarter,Theft (excluding Motor Vehicles),
6,Quarter,Robbery,
6,Quarter,Road fatality,
6,Quarter,Road collision with injury,
6,Quarter,Traffic Infringement Notices,
6,Quarter,Property damage,
6,Quarter,Other offences,
6,Quarter,suburb,Dunlop
6,Quarter,district,
7,Q1,Homicide,0.0
7,Q1,Assault,8.0
7,Q1,Sexual assault,0.0
7,Q1,Offences against a person,4.0
7,Q1,Burglary,8.0
7,Q1,Motor vehicle theft,1.0
7,Q1,Theft (excluding Motor Vehicles),19.0
7,Q1,Robbery,1.0
7,Q1,Road fatality,0.0
7,Q1,Road collision with injury,1.0
7,Q1,Traffic Infringement Notices,17.0
7,Q1,Property damage,6.0
7,Q1,Other offences,16.0
7,Q1,suburb,
7,Q1,district,
7,Q2,Homicide,0.0
7,Q2,Assault,2.0
7,Q2,Sexual assault,0.0
7,Q2,Offences against a person,1.0
7,Q2,Burglary,8.0
7,Q2,Motor vehicle theft,3.0
7,Q2,Theft (excluding Motor Vehicles),11.0
7,Q2,Robbery,0.0
7,Q2,Road fatality,0.0
7,Q2,Road collision with injury,1.0
7,Q2,Traffic Infringement Notices,20.0
7,Q2,Property damage,10.0
7,Q2,Other offences,25.0
7,Q2,suburb,
7,Q2,district,
7,Q3,Homicide,0.0
7,Q3,Assault,2.0
7,Q3,Sexual assault,0.0
7,Q3,Offences against a person,0.0
7,Q3,Burglary,8.0
7,Q3,Motor vehicle theft,3.0
7,Q3,Theft (excluding Motor Vehicles),11.0
7,Q3,Robbery,0.0
7,Q3,Road fatality,0.0
7,Q3,Road collision with injury,0.0
7,Q3,Traffic Infringement Notices,6.0
7,Q3,Property damage,7.0
7,Q3,Other offences,19.0
7,Q3,suburb,
7,Q3,district,
7,Q4,Homicide,0.0
7,Q4,Assault,8.0
7,Q4,Sexual assault,0.0
7,Q4,Offences against a person,4.0
7,Q4,Burglary,8.0
7,Q4,Motor vehicle theft,1.0
7,Q4,Theft (excluding Motor Vehicles),19.0
7,Q4,Robbery,1.0
7,Q4,Road fatality,0.0
7,Q4,Road collision with injury,1.0
7,Q4,Traffic Infringement Notices,17.0
7,Q4,Property damage,6.0
7,Q4,Other offences,16.0
7,Q4,suburb,
7,Q4,district,
7,Quarter,Homicide,
7,Quarter,Assault,
7,Quarter,Sexual assault,
7,Quarter,Offences against a person,
7,Quarter,Burglary,
7,Quarter,Motor vehicle theft,
7,Quarter,Theft (excluding Motor Vehicles),
7,Quarter,Robbery,
7,Quarter,Road fatality,
7,Quarter,Road collision with injury,
7,Quarter,Traffic Infringement Notices,
7,Quarter,Property damage,
7,Quarter,Other offences,
7,Quarter,suburb,Evatt
7,Quarter,district,
8,Q1,Homicide,0.0
8,Q1,Assault,6.0
8,Q1,Sexual assault,4.0
8,Q1,Offences against a person,2.0
8,Q1,Burglary,7.0
8,Q1,Motor vehicle theft,2.0
8,Q1,Theft (excluding Motor Vehicles),19.0
8,Q1,Robbery,0.0
8,Q1,Road fatality,0.0
8,Q1,Road collision with injury,3.0
8,Q1,Traffic Infringement Notices,29.0
8,Q1,Property damage,13.0
8,Q1,Other offences,34.0
8,Q1,suburb,
8,Q1,district,
8,Q2,Homicide,0.0
8,Q2,Assault,13.0
8,Q2,Sexual assault,2.0
8,Q2,Offences against a person,3.0
8,Q2,Burglary,7.0
8,Q2,Motor vehicle theft,1.0
8,Q2,Theft (excluding Motor Vehicles),17.0
8,Q2,Robbery,0.0
8,Q2,Road fatality,0.0
8,Q2,Road collision with injury,1.0
8,Q2,Traffic Infringement Notices,26.0
8,Q2,Property damage,14.0
8,Q2,Other offences,22.0
8,Q2,suburb,
8,Q2,district,
8,Q3,Homicide,0.0
8,Q3,Assault,5.0
8,Q3,Sexual assault,0.0
8,Q3,Offences against a person,1.0
8,Q3,Burglary,1.0
8,Q3,Motor vehicle theft,2.0
8,Q3,Theft (excluding Motor Vehicles),18.0
8,Q3,Robbery,0.0
8,Q3,Road fatality,0.0
8,Q3,Road collision with injury,1.0
8,Q3,Traffic Infringement Notices,56.0
8,Q3,Property damage,6.0
8,Q3,Other offences,21.0
8,Q3,suburb,
8,Q3,district,
8,Q4,Homicide,0.0
8,Q4,Assault,6.0
8,Q4,Sexual assault,4.0
8,Q4,Offences against a person,2.0
8,Q4,Burglary,7.0
8,Q4,Motor vehicle theft,2.0
8,Q4,Theft (excluding Motor Vehicles),19.0
8,Q4,Robbery,0.0
8,Q4,Road fatality,0.0
8,Q4,Road collision with injury,3.0
8,Q4,Traffic Infringement Notices,29.0
8,Q4,Property damage,13.0
8,Q4,Other offences,34.0
8,Q4,suburb,
8,Q4,district,
8,Quarter,Homicide,
8,Quarter,Assault,
8,Quarter,Sexual assault,
8,Quarter,Offences against a person,
8,Quarter,Burglary,
8,Quarter,Motor vehicle theft,
8,Quarter,Theft (excluding Motor Vehicles),
8,Quarter,Robbery,
8,Quarter,Road fatality,
8,Quarter,Road collision with injury,
8,Quarter,Traffic Infringement Notices,
8,Quarter,Property damage,
8,Quarter,Other offences,
8,Quarter,suburb,Florey
8,Quarter,district,
9,Q1,Homicide,0.0
9,Q1,Assault,7.0
9,Q1,Sexual assault,4.0
9,Q1,Offences against a person,0.0
9,Q1,Burglary,2.0
9,Q1,Motor vehicle theft,0.0
9,Q1,Theft (excluding Motor Vehicles),3.0
9,Q1,Robbery,0.0
9,Q1,Road fatality,0.0
9,Q1,Road collision with injury,1.0
9,Q1,Traffic Infringement Notices,6.0
9,Q1,Property damage,5.0
9,Q1,Other offences,21.0
9,Q1,suburb,
9,Q1,district,
9,Q2,Homicide,0.0
9,Q2,Assault,4.0
9,Q2,Sexual assault,0.0
9,Q2,Offences against a person,0.0
9,Q2,Burglary,1.0
9,Q2,Motor vehicle theft,2.0
9,Q2,Theft (excluding Motor Vehicles),8.0
9,Q2,Robbery,0.0
9,Q2,Road fatality,0.0
9,Q2,Road collision with injury,2.0
9,Q2,Traffic Infringement Notices,7.0
9,Q2,Property damage,6.0
9,Q2,Other offences,16.0
9,Q2,suburb,
9,Q2,district,
9,Q3,Homicide,0.0
9,Q3,Assault,2.0
9,Q3,Sexual assault,0.0
9,Q3,Offences against a person,0.0
9,Q3,Burglary,1.0
9,Q3,Motor vehicle theft,3.0
9,Q3,Theft (excluding Motor Vehicles),2.0
9,Q3,Robbery,1.0
9,Q3,Road fatality,0.0
9,Q3,Road collision with injury,0.0
9,Q3,Traffic Infringement Notices,11.0
9,Q3,Property damage,0.0
9,Q3,Other offences,8.0
9,Q3,suburb,
9,Q3,district,
9,Q4,Homicide,0.0
9,Q4,Assault,7.0
9,Q4,Sexual assault,4.0
9,Q4,Offences against a person,0.0
9,Q4,Burglary,2.0
9,Q4,Motor vehicle theft,0.0
9,Q4,Theft (excluding Motor Vehicles),3.0
9,Q4,Robbery,0.0
9,Q4,Road fatality,0.0
9,Q4,Road collision with injury,1.0
9,Q4,Traffic Infringement Notices,6.0
9,Q4,Property damage,5.0
9,Q4,Other offences,21.0
9,Q4,suburb,
9,Q4,district,
9,Quarter,Homicide,
9,Quarter,Assault,
9,Quarter,Sexual assault,
9,Quarter,Offences against a person,
9,Quarter,Burglary,
9,Quarter,Motor vehicle theft,
9,Quarter,Theft (excluding Motor Vehicles),
9,Quarter,Robbery,
9,Quarter,Road fatality,
9,Quarter,Road collision with injury,
9,Quarter,Traffic Infringement Notices,
9,Quarter,Property damage,
9,Quarter,Other offences,
9,Quarter,suburb,Flynn
9,Quarter,district,
