,,,,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count
period,,,,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
suburb,postcode,Category,Subcategory,,,,,,,,,,,,,,,,,,,,,,
ALAWOONA,5311,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,,,,,,,,,,,,,,,,,,1.0,,,
ALAWOONA,5311,SERIOUS CRIMINAL TRESPASS,SCT - Residence,,,,,,,,,,1.0,,,,,,,,,,,,
ALAWOONA,5311,THEFT AND RELATED OFFENCES,Other theft,,,,1.0,,,,,,,,,,,,,,,,,,
ALAWOONA,5311,THEFT AND RELATED OFFENCES,Theft from motor vehicle,,,,,,,,,,,,,,,,,,,,,1.0,
ALAWOONA,5311,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
ALBERT PARK,5014,ACTS INTENDED TO CAUSE INJURY,Common Assault,1.0,2.0,,1.0,1.0,,3.0,1.0,1.0,2.0,2.0,,1.0,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
ALBERT PARK,5014,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,2.0,,2.0,,,4.0,3.0,7.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,,,1.0,1.0
ALBERT PARK,5014,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,,,,,,,,,,,,,1.0,,,,,
ALBERT PARK,5014,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,2.0,,,,1.0,,,,,1.0,,,,,2.0,,,,,,
ALBERT PARK,5014,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,,,,,,,,,,,1.0,,,,,,,
ALBERT PARK,5014,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,
ALBERT PARK,5014,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,2.0,,,,,,,,,,,,,,,,,
ALBERT PARK,5014,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,,,,1.0,,,,,2.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,
