id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
1527,Dookie Primary School,Baldock Street,Dookie,3646,Government,Primary,-36.331067,145.682794
1542,Brighton Primary School,59 Wilson Street,Brighton,3186,Government,Primary,-37.911753000000004,145.00223400000002
1548,Natimuk Primary School,38 Old Noradjuha Road,Natimuk,3409,Government,Primary,-36.741234999999996,141.950496
1549,Murtoa College,Webb Street,Murtoa,3390,Government,Pri/Sec,-36.623495,142.475745
1551,Big Hill Primary School,5644 Calder Highway,Big Hill,3555,Government,Primary,-36.830583000000004,144.24247
1552,Clunes Primary School,Canterbury Street,Clunes,3370,Government,Primary,-37.2907506,143.7921149
1554,Marnoo Primary School,Newall Street,Marnoo,3387,Government,Primary,-36.676853,142.870353
1560,Beechworth Primary School,17 Junction Road,Beechworth,3747,Government,Primary,-36.355433000000005,146.693567
1563,Ardmona Primary School,580 Turnbull Road,Ardmona,3629,Government,Primary,-36.385458,145.313066
1568,Kilmore Primary School,35 Lancefield Road,Kilmore,3764,Government,Primary,-37.295768,144.947521
1571,Macarthur Primary School,23 Russell Street,Macarthur,3286,Government,Primary,-38.030878,142.001473
1574,Barwon Heads Primary School,Golf Links Road,Barwon Heads,3227,Government,Primary,-38.281189000000005,144.48703899999998
