id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
288,St Joseph's Primary School,49 Brown Street,Dungog,2420,Catholic,Primary,-32.400729,151.754143
289,St Joseph's Catholic Primary School,126 Liverpool Road,Enfield,2136,Catholic,Primary,-33.888059999999996,151.10128999999998
290,St Joseph's School,20 Wrigley Street,Gilgandra,2827,Catholic,Primary,-31.708488,148.66323899999998
291,St Joseph's Primary School,Hyde Street,Grafton South,2460,Catholic,Primary,-29.725385,152.933617
292,St Joseph's School,Weddin Street,Grenfell,2810,Catholic,Primary,-33.898153,148.16251599999998
293,St Joseph's Primary School,Aiden Street,Hillston,2675,Catholic,Primary,-33.484283000000005,145.52814899999998
294,St Joseph's Primary School,Kitchener Street,Junee,2663,Catholic,Primary,-34.872240000000005,147.577395
295,St Joseph's Primary School,94 Joseph Street,Kingswood,2747,Catholic,Primary,-33.756797999999996,150.72150200000002
296,Holy Spirit Primary School,Barton Street,Kurri Kurri,2327,Catholic,Primary,-32.818582,151.484671
297,St Joseph's Primary School,Ferrier Street,Lockhart,2656,Catholic,Primary,-35.220471999999994,146.718077
298,St Joseph's Primary School,23 Stanley Street,Maclean,2463,Catholic,Primary,-29.459346000000004,153.202276
299,St Joseph's Primary School,57 King Street,East Maitland,2323,Catholic,Primary,-32.750531,151.58513
300,St Joseph's School,Loftus Street,Manildra,2865,Catholic,Primary,-33.184217,148.694661
301,St Joseph's Primary School,Marquet Street,Merriwa,2329,Catholic,Primary,-32.136813000000004,150.358488
302,St Joseph's School,Edward Street,Molong,2866,Catholic,Primary,-33.094281,148.864531
303,St Joseph's School,72 - 74 Bucknell Street,Mungindi,2406,Catholic,Primary,-28.979978999999997,148.99084399999998
304,St Joseph's Primary School,85 Larmer Street,Narrandera,2700,Catholic,Primary,-34.749233000000004,146.554626
305,St Joseph's Primary School,23 Terangion Street,Nyngan,2825,Catholic,Primary,-31.564390000000003,147.19063300000002
306,St Joseph's Catholic Primary School,21 Rosa Street,Oatley,2223,Catholic,Primary,-33.981565,151.082548
307,St Joseph's Primary School,165 Caswell Street,Peak Hill,2869,Catholic,Primary,-32.726162,148.187016
308,St Joseph's School,18 Thomas Street,Quirindi,2343,Catholic,Primary,-31.510241999999998,150.677422
309,St Joseph's Catholic Primary School,28-32 Thurlow St,Riverwood,2210,Catholic,Primary,-33.951767,151.055038
310,St Joseph's School,99 Bridge Street,Tamworth West,2340,Catholic,Primary,-31.093384999999998,150.917015
311,St Joseph's School,50 Scott Street,Tenterfield,2372,Catholic,Primary,-29.058372,152.014773
312,St Joseph's Primary School,140 Wangi Road,Kilaben Bay,2283,Catholic,Primary,-33.024861,151.57777
313,St Joseph's School,Wood Street,Uralla,2358,Catholic,Primary,-30.639193,151.50501
314,St Joseph's School,82 Arthur Street,Walgett,2832,Catholic,Primary,-30.024697999999997,148.114405
315,St Joseph's School,Stewart Street,Warialda,2402,Catholic,Primary,-29.543428000000002,150.57334
316,St Joseph's Primary School,1 King Street,Wauchope,2446,Catholic,Primary,-31.459694,152.732375
317,St Joseph's Primary School,Alma Street,Wee Waa,2388,Catholic,Primary,-30.227233000000002,149.443937
318,St Joseph's Primary School,Church Crescent,Wingham,2429,Catholic,Primary,-31.871014000000002,152.373716
