id,school_name,school_address,suburb,postcode,school_lat,school_lon,Category,Subtype,school_type,sector
6163,Airdale PS OSHC/Vac,Anzac Road,Port Pirie,5540,-33.200564,137.99046,CARE,OSHC,Out of School Hours Care,DEPT
6164,Dernancourt Primary School OSHC/Vac,29 Parsons Road,Dernancourt,5075,-34.861119,138.673464,CARE,OSHC,Out of School Hours Care,DEPT
6165,Seaview Downs PS OSHC/Vac,26-44 Ross Street,Seaview Downs,5049,-35.041379,138.536114,CARE,OSHC,Out of School Hours Care,DEPT
6166,Marion Primary School OSHC,2-22 Malcolm Avenue,Marion,5043,-35.00386,138.555218,CARE,OSHC,Out of School Hours Care,DEPT
6167,West Beach PS OSHC/Vac,3 Woodhead Street,West Beach,5024,-34.937821,138.508809,CARE,OSHC,Out of School Hours Care,DEPT
6168,Parafield Gardens PS OSHC/Vac,23 Shepherdson Road,Parafield Gardens,5107,-34.785554,138.61607,CARE,OSHC,Out of School Hours Care,DEPT
6169,Gawler East Primary School OSHC/Vac,Finch Road,Gawler East,5118,-34.598085,138.761294,CARE,OSHC,Out of School Hours Care,DEPT
6170,Banksia Park School R-7 OSHC/Vac,1-5 Cottenham Road,Banksia Park,5091,-34.808854,138.72609,CARE,OSHC,Out of School Hours Care,DEPT
6171,East Marden Primary School OSHC/Vac,43 James Street,Campbelltown,5074,-34.881964,138.65353,CARE,OSHC,Out of School Hours Care,DEPT
6172,Reynella South PS OSHC/Vac,119-135 Sherriffs Road,Reynella,5161,-35.103462,138.524358,CARE,OSHC,Out of School Hours Care,DEPT
6173,Modbury South PS Happy Haven OSHC,Dampier Avenue,Hope Valley,5090,-34.839319,138.69719,CARE,OSHC,Out of School Hours Care,DEPT
6174,Para Vista PS OSHC/Vac,351 Montague Road,Para Vista,5093,-34.830231,138.663164,CARE,OSHC,Out of School Hours Care,DEPT
6175,Ridgehaven Primary School OSHC/Vac,479 Milne Road,Ridgehaven,5097,-34.818559,138.710323,CARE,OSHC,Out of School Hours Care,DEPT
6176,Hallett Cove East PS OSHC/Vac,Quailo Avenue,Hallett Cove,5158,-35.071138,138.517181,CARE,OSHC,Out of School Hours Care,DEPT
6177,Reynella East PS OSHC/Vac,63 Malbeck Drive,Reynella East,5161,-35.090666,138.556465,CARE,OSHC,Out of School Hours Care,DEPT
6180,Hackham East Primary School OSHC,Collins Parade,Hackham,5163,-35.140202,138.53528,CARE,OSHC,Out of School Hours Care,DEPT
6182,Noarlunga Downs Primary School OSHC,Canterbury Crescent,Noarlunga Downs,5168,-35.150074,138.496349,CARE,OSHC,Out of School Hours Care,DEPT
6184,Flagstaff Hill R-7 School OSHC/Vac,145 Black Road,Flagstaff Hill,5159,-35.049771,138.589633,CARE,OSHC,Out of School Hours Care,DEPT
6186,Redwood Park PS OSHC/Vac,2-10 Lokan Street,Redwood Park,5097,-34.814868,138.700743,CARE,OSHC,Out of School Hours Care,DEPT
6187,Surrey Downs PS OSHC,16-24 Vine Street,Surrey Downs,5126,-34.800032,138.711462,CARE,OSHC,Out of School Hours Care,DEPT
6188,Fairview Park Primary School OSHC,Nepondi Court,Fairview Park,5126,-34.79778,138.731422,CARE,OSHC,Out of School Hours Care,DEPT
6189,Modbury West School OSHC/Vac,450-474 Wright Road,Modbury,5092,-34.833255,138.67648,CARE,OSHC,Out of School Hours Care,DEPT
6191,East Para PS OSHC/Vac,12 Caroona Avenue,Para Hills,5096,-34.81765,138.666078,CARE,OSHC,Out of School Hours Care,DEPT
6192,Bellevue Heights Primary School OSHC,7-19 Vaucluse Crescent,Bellevue Heights,5050,-35.028955,138.588869,CARE,OSHC,Out of School Hours Care,DEPT
6193,Flaxmill Schools OSHC Camp Australia,80 Flaxmill Road,Morphett Vale,5162,-35.127467,138.519246,CARE,OSHC,Out of School Hours Care,DEPT
6194,Ingle Farm Primary School OSHC/Vac,2 Belalie Road,Ingle Farm,5098,-34.827631,138.643207,CARE,OSHC,Out of School Hours Care,DEPT
6195,Braeview PS OSHC/Vac,1A Montana Drive,Happy Valley,5159,-35.081009,138.554104,CARE,OSHC,Out of School Hours Care,DEPT
6196,Morphett Vale East PS OSHC/Vac,Monarch Street,Morphett Vale,5162,-35.121869,138.530944,CARE,OSHC,Out of School Hours Care,DEPT
6197,Westport Primary School OSHC,53 West Street,Semaphore Park,5019,-34.855142,138.491357,CARE,OSHC,Out of School Hours Care,DEPT
6198,Craigburn PS OSHC/Vac,15 Murrays Hill Road,Flagstaff Hill,5159,-35.056187,138.615495,CARE,OSHC,Out of School Hours Care,DEPT
6199,West Lakes Shore PS OSHC/Vac,Edwin Street,West Lakes Shore,5020,-34.863484,138.481851,CARE,OSHC,Out of School Hours Care,DEPT
6202,Torrensville PS OSHC/Vac,Hayward Avenue,Torrensville,5031,-34.919368,138.556719,CARE,OSHC,Out of School Hours Care,DEPT
6204,North Haven School OSHC/Vac,Tapping Crescent,North Haven,5018,-34.790581,138.497559,CARE,OSHC,Out of School Hours Care,DEPT
6205,Wynn Vale School OSHC/Vac,17-19 Sunnybrook Drive,Wynn Vale,5127,-34.801435,138.686542,CARE,OSHC,Out of School Hours Care,DEPT
6206,The Heights OSHC/Vac,Brunel Drive,Modbury Heights,5092,-34.81146,138.682448,CARE,OSHC,Out of School Hours Care,DEPT
6207,Sheidow Park PS OSHC/Vac,21-43 Adams Road,Sheidow Park,5158,-35.071074,138.533052,CARE,OSHC,Out of School Hours Care,DEPT
6208,Mount Barker South PS OSHC/Vac,33-45 Princes Road,Mount Barker,5251,-35.080093,138.859874,CARE,OSHC,Out of School Hours Care,DEPT
6209,Ardtornish Primary School OSHC/Vac,2 Saarinen Avenue,St Agnes,5097,-34.833595,138.704599,CARE,OSHC,Out of School Hours Care,DEPT
6211,Aberfoyle Hub PS OSHC/Vac,29 Jeanette Crescent,Aberfoyle Park,5159,-35.078103,138.595738,CARE,OSHC,Out of School Hours Care,DEPT
6213,The Pines PS Happy Haven OSHC,42 Andrew Smith Drive,Parafield Gardens,5107,-34.773316,138.607722,CARE,OSHC,Out of School Hours Care,DEPT
6215,Keithcot Kings OSHC,5 Keithcot Farm Drive,Wynn Vale,5127,-34.799705,138.677278,CARE,OSHC,Out of School Hours Care,DEPT
6216,Eudunda Community Preschool Occ Care,Morgan Road,Eudunda,5374,-34.180855,139.09133,CARE,OCPRE,Occasional Care in Preschools,DEPT
6217,Sir Thomas Playford Kgtn Occ Care,Chivell Street,Elizabeth South,5112,-34.73111,138.66211,CARE,OCPRE,Occasional Care in Preschools,DEPT
6218,Blakeview PS OSHC/Vac,Blakeview Boulevard,Blakeview,5114,-34.687897,138.699532,CARE,OSHC,Out of School Hours Care,DEPT
6220,Para Hills West PS OSHC/Vac,1-31 Balkara Road,Para Hills West,5096,-34.80001728,138.65318616,CARE,OSHC,Out of School Hours Care,DEPT
6222,Parkside OSHC Centre,12 Robsart Street,Parkside,5063,-34.944657,138.620087,CARE,OSHC,Out of School Hours Care,NONDEPT
6223,St Joseph's Sch OSHC/Vac Hectorville,30 Montacute Road,Hectorville,5073,-34.889664,138.659936,CARE,OSHC,Out of School Hours Care,NONDEPT
