id,school_name,school_address,suburb,postcode,school_type,school_lat,school_lon
212,Covenant Christian School,Woodcock Drive,Gordon,2906,Independent Christian,-35.439222,149.090709
213,Daramalan College,Cowper Street,Dickson,2602,Independent Catholic,-35.253518,149.138695
214,Emmaus Christian School,Davenport Street,Dickson,2602,Independent Christian,-35.253355,149.142818
215,Good Shepherd Primary School,Burdekin Avenue,Amaroo,2914,Catholic systemic,-35.166843,149.123922
216,Mother Teresa - campus of Good Shepherd,Wimmera St,Harrison,2914,Catholic systemic,-35.1954931,149.1531305
217,St John Paul II College - secondary campus of Good Shepherd,Gungahlin Drive,Nicholls,2913,Catholic systemic,-35.1761942,149.0999636
218,Holy Family Parish Primary,Castleton Crescent,Gowrie,2904,Catholic systemic,-35.410301,149.116552
219,Holy Spirit Primary,Kelleway Avenue,Nicholls,2913,Catholic systemic,-35.180246,149.101809
220,Holy Trinity Primary,Theodore Street,Curtin,2605,Catholic systemic,-35.327679,149.081951
221,Islamic School of Canberra,Heysen Street,Weston,2602,Independent Islamic,-35.240588,149.15037
222,Marist College Canberra,Marr Street,Pearce,2606,Independent Islamic,-35.357959,149.088697
223,Merici College,Wise Street,Braddon,2612,Catholic systemic,-35.266525,149.137037
224,Orana Steiner School,Unwin Place,Weston,2611,Independent Steiner,-35.327858,149.058949
225,Radford College,College Street,Bruce,2617,Independent Anglican,-35.243503,149.089323
226,Rosary Primary,Fleming Street,Watson,2602,Catholic systemic,-35.24641,149.154682
227,Sacred Heart Primary,Murphy Street,Pearce,2607,Catholic systemic,-35.366936,149.084391
228,St Anthony's Primary,Wheeler Crescent,Wanniassa,2903,Catholic systemic,-35.394049,149.080086
229,St Bede's Primary,Nuyts Street,Red Hill,2603,Catholic systemic,-35.338847,149.128788
230,St Benedict's Primary,Tallara Parkway,Narrabundah,2604,Catholic systemic,-35.33483,149.148034
231,St Clare of Assisi Primary,Heidelberg Street,Conder,2906,Catholic systemic,-35.45791,149.096766
232,St Clare's College,McMillan Crescent,Griffith,2603,Catholic systemic,-35.323929,149.14765
233,St Edmund's College,Canberra Avenue,Griffith,2603,Independent Catholic,-35.32282,149.144242
234,St Francis of Assisi Primary,Casey Crescent,Calwell,2905,Catholic systemic,-35.440799,149.119593
235,St Francis Xavier College,Barnard Circuit,Florey,2615,Catholic systemic,-35.223979,149.040615
236,St John the Apostle Primary,Pawsey Circuit,Florey,2615,Catholic systemic,-35.225664,149.041696
237,St John Vianney's Primary,Namatjira Drive,Waramanga,2611,Catholic systemic,-35.351057,149.055559
238,St Joseph's Primary,Boronia Drive,O'Connor,2602,Catholic systemic,-35.259648,149.126375
239,St Jude's Primary,Mulley Street,Holder,2611,Catholic systemic,-35.333941,149.049819
