id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
181,Tewantin State School,Werin Street,Tewantin,4565,State,Prep Year to Year 6,-26.39013,153.03257299999999
437,Texas P-10 State School,1 Flemming Street,Texas,4385,State,Early Childhood to Year 10,-28.85063,151.174251
1573,Thabeban State School,270 Goodwood Road,Thabeban,4670,State,Prep Year to Year 6,-24.898385,152.363668
1278,Thallon State School,15 Henry Street,Thallon,4497,State,Prep Year to Year 6,-28.633675,148.867758
1840,Thangool State School,2 Aerodrome Road,Thangool,4716,State,Prep Year to Year 6,-24.491007,150.571643
409,Thargomindah State School,Dowling Street,Thargomindah,4492,State,Early Childhood to Year 6,-27.995287,143.826773
5436,The Cathedral College (Rockhampton),189 William Street,Rockhampton,4700,Catholic,Year 7 to Year 12,-23.386163,150.505125
5454,The Cathedral School of St Anne and St James (Mundingburra),154 Ross River Road,Mundingburra,4812,Independent,Prep Year to Year 12,-19.295826,146.779066
1018,The Caves State School,1 Barmoya Road,The Caves,4702,State,Prep Year to Year 6,-23.176744,150.45932
1665,The Centre Education Programme (Kingston),108 Mudgee Street,Kingston,4114,Catholic,Year 7 to Year 12,-27.667990999999997,153.110377
2053,The Gap State High School,1020 Waterworks Road,The Gap,4061,State,Year 7 to Year 12,-27.445012,152.95048400000002
1302,The Gap State School,Cnr Waterworks & Settlement Roads,The Gap,4061,State,Prep Year to Year 6,-27.443189,152.944677
5859,The Glenleighden School (Fig Tree Pocket),33 Cubberla Street,Fig Tree Pocket,4069,Independent,Prep Year to Year 11,-27.527407,152.963434
5461,The Glennie School (Toowoomba),246A - 248 Herries Street,Toowoomba,4350,Independent,Prep Year to Year 12,-27.562359000000004,151.93615400000002
1360,The Gums State School,12051 Coomrith Road,The Gums,4406,State,Prep Year to Year 6,-27.341442999999998,150.199453
1195,The Hall State School,Murray Street,Wandal,4700,State,Prep Year to Year 6,-23.37332,150.496767
5468,The Kooralbyn International School (Kooralbyn),Ogilvie Place,Kooralbyn,4285,Independent,Prep Year to Year 12,-28.093977000000002,152.844702
5403,The Lakes College (North Lakes),2 College Street,North Lakes,4509,Independent,Prep Year to Year 12,-27.232827,153.022616
A662,The Rainforest School (Maria Creeks),18 South Maria Creek Close,Maria Creeks,4855,Independent,Prep Year to Year 4,-17.82807,146.05326000000002
96,The River School (Maleny),251 Bridge Creek Road,Maleny,4552,Independent,Prep Year to Year 6,-26.734315000000002,152.844731
5517,"The Rockhampton Grammar School (Agnes St, Rockhampton)",53 - 89 Agnes Street,Rockhampton,4700,Independent,Prep Year to Year 12,-23.384875,150.494517
5502,The School of Total Education (Warwick),2 Freestone Road,Warwick,4370,Independent,Prep Year to Year 12,-28.203940999999997,152.044281
5560,"The SCOTS PGC College (Oxenham St, Warwick)",60 Oxenham Street,Warwick,4370,Independent,Prep Year to Year 12,-28.211087,152.04699
5453,The Southport School (Southport),Winchester Street,Southport,4215,Independent,Prep Year to Year 12,-27.982888,153.41454199999998
A016,The Spot Academy (Parkinson),61 Sandstone Place,Parkinson,4115,Independent,Year 7 to Year 12,-27.655649,153.036823
5686,"The Springfield Anglican College (Springfield Greenbank Arterial, Springfield)",68 Springfield Greenbank Arterial,Springfield,4300,Independent,Year 7 to Year 12,-27.670935999999998,152.906482
1714,The Summit State School,Taggart's Road,The Summit,4377,State,Prep Year to Year 6,-28.579002000000003,151.955205
A038,The Sycamore School (Alexandra Hills),29 Windemere Road,Alexandra Hills,4161,Independent,Prep Year to Year 8,-27.525454999999997,153.21046299999998
287,The Willows State School,Bilberry Street,Kirwan,4817,State,Prep Year to Year 6,-19.305132999999998,146.72251599999998
579,Theebine State School,Scrub Road,Theebine,4570,State,Prep Year to Year 6,-25.9525,152.540973
676,Theodore State School,The Boulevard,Theodore,4719,State,Prep Year to Year 10,-24.946014,150.075088
1240,Thornlands State School,Panorama Drive,Thornlands,4164,State,Prep Year to Year 6,-27.548775,153.26441599999998
245,Thornton State School,4 Thornton School Road,Thornton,4341,State,Prep Year to Year 6,-27.798244,152.37204499999999
803,Thulimbah State School,146 Thulimbah School Road,Thulimbah,4376,State,Prep Year to Year 6,-28.536545,151.93616
